,load,onwind,solar
2014-01-01 0:00,7067,0.3,0.005
2014-01-01 1:00,6890,0.306,0
2014-01-01 2:00,6732,0.313,0
2014-01-01 3:00,6660,0.319,0
2014-01-01 4:00,6666,0.329,0
2014-01-01 5:00,6749,0.337,0
2014-01-01 6:00,6993,0.345,0
2014-01-01 7:00,7212,0.351,0
2014-01-01 8:00,7397,0.358,0
2014-01-01 9:00,7659,0.361,0
2014-01-01 10:00,7830,0.363,0
2014-01-01 11:00,7946,0.366,0
2014-01-01 12:00,7976,0.368,0
2014-01-01 13:00,7974,0.367,0.002
2014-01-01 14:00,7979,0.366,0.027
2014-01-01 15:00,8119,0.362,0.067
2014-01-01 16:00,8620,0.359,0.119
2014-01-01 17:00,8882,0.359,0.177
2014-01-01 18:00,8675,0.359,0.223
2014-01-01 19:00,8479,0.359,0.234
2014-01-01 20:00,8255,0.359,0.204
2014-01-01 21:00,7971,0.364,0.143
2014-01-01 22:00,7516,0.373,0.073
2014-01-01 23:00,7086,0.377,0.019
2014-01-02 0:00,6816,0.38,0.002
2014-01-02 1:00,6656,0.377,0
2014-01-02 2:00,6577,0.374,0
2014-01-02 3:00,6588,0.37,0
2014-01-02 4:00,6700,0.366,0
2014-01-02 5:00,7025,0.366,0
2014-01-02 6:00,7576,0.37,0
2014-01-02 7:00,8186,0.377,0
2014-01-02 8:00,8526,0.381,0
2014-01-02 9:00,8685,0.385,0
2014-01-02 10:00,8815,0.384,0
2014-01-02 11:00,8922,0.388,0
2014-01-02 12:00,8995,0.386,0
2014-01-02 13:00,8953,0.381,0.005
2014-01-02 14:00,8901,0.38,0.029
2014-01-02 15:00,8904,0.381,0.066
2014-01-02 16:00,9312,0.382,0.113
2014-01-02 17:00,9580,0.385,0.15
2014-01-02 18:00,9332,0.387,0.168
2014-01-02 19:00,8991,0.391,0.166
2014-01-02 20:00,8694,0.396,0.137
2014-01-02 21:00,8333,0.403,0.092
2014-01-02 22:00,7853,0.43,0.047
2014-01-02 23:00,7381,0.432,0.017
2014-01-03 0:00,6967,0.433,0.003
2014-01-03 1:00,6827,0.428,0
2014-01-03 2:00,6741,0.422,0
2014-01-03 3:00,6714,0.414,0
2014-01-03 4:00,6807,0.408,0
2014-01-03 5:00,7171,0.403,0
2014-01-03 6:00,7696,0.396,0
2014-01-03 7:00,8339,0.388,0
2014-01-03 8:00,8694,0.378,0
2014-01-03 9:00,8827,0.369,0
2014-01-03 10:00,8818,0.378,0
2014-01-03 11:00,8712,0.362,0
2014-01-03 12:00,8542,0.349,0
2014-01-03 13:00,8400,0.345,0.002
2014-01-03 14:00,8322,0.344,0.025
2014-01-03 15:00,8293,0.342,0.056
2014-01-03 16:00,8728,0.343,0.085
2014-01-03 17:00,9250,0.341,0.11
2014-01-03 18:00,9138,0.338,0.131
2014-01-03 19:00,8934,0.34,0.144
2014-01-03 20:00,8769,0.348,0.135
2014-01-03 21:00,8589,0.356,0.108
2014-01-03 22:00,8182,0.38,0.07
2014-01-03 23:00,7695,0.389,0.034
2014-01-04 0:00,7299,0.398,0.011
2014-01-04 1:00,7070,0.403,0
2014-01-04 2:00,6959,0.408,0
2014-01-04 3:00,6950,0.412,0
2014-01-04 4:00,7037,0.415,0
2014-01-04 5:00,7218,0.414,0
2014-01-04 6:00,7579,0.414,0
2014-01-04 7:00,8029,0.416,0
2014-01-04 8:00,8450,0.423,0
2014-01-04 9:00,8661,0.432,0
2014-01-04 10:00,8716,0.447,0
2014-01-04 11:00,8617,0.441,0
2014-01-04 12:00,8406,0.438,0
2014-01-04 13:00,8192,0.437,0.003
2014-01-04 14:00,8115,0.436,0.017
2014-01-04 15:00,8230,0.441,0.04
2014-01-04 16:00,8866,0.447,0.073
2014-01-04 17:00,9369,0.449,0.118
2014-01-04 18:00,9274,0.453,0.158
2014-01-04 19:00,9066,0.462,0.181
2014-01-04 20:00,8844,0.472,0.174
2014-01-04 21:00,8600,0.481,0.142
2014-01-04 22:00,8193,0.482,0.1
2014-01-04 23:00,7750,0.487,0.047
2014-01-05 0:00,7461,0.49,0.009
2014-01-05 1:00,7284,0.492,0
2014-01-05 2:00,7172,0.492,0
2014-01-05 3:00,7148,0.49,0
2014-01-05 4:00,7225,0.489,0
2014-01-05 5:00,7404,0.489,0
2014-01-05 6:00,7714,0.493,0
2014-01-05 7:00,8137,0.497,0
2014-01-05 8:00,8472,0.502,0
2014-01-05 9:00,8663,0.504,0
2014-01-05 10:00,8665,0.507,0
2014-01-05 11:00,8596,0.498,0
2014-01-05 12:00,8472,0.496,0
2014-01-05 13:00,8353,0.496,0.002
2014-01-05 14:00,8281,0.494,0.016
2014-01-05 15:00,8434,0.49,0.045
2014-01-05 16:00,9035,0.482,0.08
2014-01-05 17:00,9643,0.475,0.133
2014-01-05 18:00,9546,0.469,0.18
2014-01-05 19:00,9387,0.468,0.195
2014-01-05 20:00,9139,0.469,0.176
2014-01-05 21:00,8757,0.469,0.128
2014-01-05 22:00,8276,0.436,0.079
2014-01-05 23:00,7792,0.438,0.036
2014-01-06 0:00,7444,0.437,0.009
2014-01-06 1:00,7339,0.433,0
2014-01-06 2:00,7320,0.425,0
2014-01-06 3:00,7359,0.416,0
2014-01-06 4:00,7502,0.408,0
2014-01-06 5:00,7942,0.402,0
2014-01-06 6:00,8649,0.401,0
2014-01-06 7:00,9520,0.405,0
2014-01-06 8:00,9697,0.407,0
2014-01-06 9:00,9667,0.41,0
2014-01-06 10:00,9574,0.404,0
2014-01-06 11:00,9521,0.406,0
2014-01-06 12:00,9342,0.411,0
2014-01-06 13:00,9225,0.414,0.003
2014-01-06 14:00,9161,0.418,0.009
2014-01-06 15:00,9242,0.425,0.021
2014-01-06 16:00,9728,0.438,0.05
2014-01-06 17:00,10175,0.455,0.09
2014-01-06 18:00,10012,0.473,0.125
2014-01-06 19:00,9721,0.491,0.142
2014-01-06 20:00,9382,0.507,0.139
2014-01-06 21:00,8970,0.52,0.11
2014-01-06 22:00,8473,0.533,0.06
2014-01-06 23:00,7886,0.554,0.022
2014-01-07 0:00,7447,0.569,0.004
2014-01-07 1:00,7253,0.581,0
2014-01-07 2:00,7160,0.587,0
2014-01-07 3:00,7120,0.594,0
2014-01-07 4:00,7201,0.599,0
2014-01-07 5:00,7568,0.606,0
2014-01-07 6:00,8279,0.612,0
2014-01-07 7:00,9078,0.62,0
2014-01-07 8:00,9286,0.626,0
2014-01-07 9:00,9215,0.63,0
2014-01-07 10:00,9173,0.636,0
2014-01-07 11:00,9157,0.634,0
2014-01-07 12:00,9148,0.635,0
2014-01-07 13:00,9139,0.634,0.001
2014-01-07 14:00,9062,0.632,0.013
2014-01-07 15:00,9152,0.631,0.038
2014-01-07 16:00,9565,0.634,0.079
2014-01-07 17:00,9936,0.635,0.132
2014-01-07 18:00,9787,0.637,0.181
2014-01-07 19:00,9535,0.64,0.199
2014-01-07 20:00,9229,0.643,0.182
2014-01-07 21:00,8814,0.65,0.139
2014-01-07 22:00,8158,0.653,0.082
2014-01-07 23:00,7563,0.665,0.027
2014-01-08 0:00,7215,0.672,0.003
2014-01-08 1:00,7036,0.674,0
2014-01-08 2:00,6909,0.676,0
2014-01-08 3:00,6870,0.677,0
2014-01-08 4:00,6976,0.676,0
2014-01-08 5:00,7330,0.676,0
2014-01-08 6:00,8012,0.675,0
2014-01-08 7:00,8802,0.673,0
2014-01-08 8:00,9028,0.673,0
2014-01-08 9:00,9006,0.673,0
2014-01-08 10:00,8988,0.672,0
2014-01-08 11:00,8964,0.674,0
2014-01-08 12:00,8956,0.676,0
2014-01-08 13:00,8950,0.671,0.005
2014-01-08 14:00,8949,0.662,0.023
2014-01-08 15:00,9029,0.657,0.056
2014-01-08 16:00,9374,0.65,0.105
2014-01-08 17:00,9719,0.643,0.147
2014-01-08 18:00,9532,0.636,0.178
2014-01-08 19:00,9304,0.628,0.185
2014-01-08 20:00,9038,0.618,0.162
2014-01-08 21:00,8677,0.608,0.118
2014-01-08 22:00,8137,0.608,0.066
2014-01-08 23:00,7538,0.617,0.025
2014-01-09 0:00,7134,0.619,0.003
