,load,onwind,solar
2014-01-01 0:00,7067,0.025,0.089
2014-01-01 1:00,6890,0.022,0
2014-01-01 2:00,6732,0.014,0
2014-01-01 3:00,6660,0.007,0
2014-01-01 4:00,6666,0.004,0
2014-01-01 5:00,6749,0.002,0
2014-01-01 6:00,6993,0.003,0
2014-01-01 7:00,7212,0.002,0
2014-01-01 8:00,7397,0.003,0
2014-01-01 9:00,7659,0.004,0
2014-01-01 10:00,7830,0.009,0
2014-01-01 11:00,7946,0.012,0
2014-01-01 12:00,7976,0.015,0
2014-01-01 13:00,7974,0.019,0
2014-01-01 14:00,7979,0.021,0
2014-01-01 15:00,8119,0.023,0
2014-01-01 16:00,8620,0.028,0
2014-01-01 17:00,8882,0.029,0.108
2014-01-01 18:00,8675,0.022,0.243
2014-01-01 19:00,8479,0.01,0.32
2014-01-01 20:00,8255,0.004,0.368
2014-01-01 21:00,7971,0.001,0.348
2014-01-01 22:00,7516,0.004,0.3
2014-01-01 23:00,7086,0.006,0.176
2014-01-02 0:00,6816,0.014,0.064
2014-01-02 1:00,6656,0.023,0
2014-01-02 2:00,6577,0.03,0
2014-01-02 3:00,6588,0.035,0
2014-01-02 4:00,6700,0.035,0
2014-01-02 5:00,7025,0.031,0
2014-01-02 6:00,7576,0.027,0
2014-01-02 7:00,8186,0.022,0
2014-01-02 8:00,8526,0.022,0
2014-01-02 9:00,8685,0.022,0
2014-01-02 10:00,8815,0.024,0
2014-01-02 11:00,8922,0.031,0
2014-01-02 12:00,8995,0.034,0
2014-01-02 13:00,8953,0.044,0
2014-01-02 14:00,8901,0.055,0
2014-01-02 15:00,8904,0.063,0
2014-01-02 16:00,9312,0.068,0
2014-01-02 17:00,9580,0.087,0.047
2014-01-02 18:00,9332,0.098,0.118
2014-01-02 19:00,8991,0.105,0.191
2014-01-02 20:00,8694,0.124,0.202
2014-01-02 21:00,8333,0.139,0.194
2014-01-02 22:00,7853,0.13,0.193
2014-01-02 23:00,7381,0.167,0.106
2014-01-03 0:00,6967,0.183,0.044
2014-01-03 1:00,6827,0.201,0
2014-01-03 2:00,6741,0.24,0
2014-01-03 3:00,6714,0.313,0
2014-01-03 4:00,6807,0.435,0
2014-01-03 5:00,7171,0.514,0
2014-01-03 6:00,7696,0.58,0
2014-01-03 7:00,8339,0.618,0
2014-01-03 8:00,8694,0.646,0
2014-01-03 9:00,8827,0.686,0
2014-01-03 10:00,8818,0.66,0
2014-01-03 11:00,8712,0.656,0
2014-01-03 12:00,8542,0.659,0
2014-01-03 13:00,8400,0.621,0
2014-01-03 14:00,8322,0.557,0
2014-01-03 15:00,8293,0.499,0
2014-01-03 16:00,8728,0.458,0
2014-01-03 17:00,9250,0.377,0.155
2014-01-03 18:00,9138,0.321,0.303
2014-01-03 19:00,8934,0.282,0.421
2014-01-03 20:00,8769,0.313,0.492
2014-01-03 21:00,8589,0.303,0.463
2014-01-03 22:00,8182,0.23,0.426
2014-01-03 23:00,7695,0.181,0.32
2014-01-04 0:00,7299,0.184,0.18
2014-01-04 1:00,7070,0.214,0
2014-01-04 2:00,6959,0.254,0
2014-01-04 3:00,6950,0.277,0
2014-01-04 4:00,7037,0.27,0
2014-01-04 5:00,7218,0.24,0
2014-01-04 6:00,7579,0.241,0
2014-01-04 7:00,8029,0.231,0
2014-01-04 8:00,8450,0.196,0
2014-01-04 9:00,8661,0.179,0
2014-01-04 10:00,8716,0.165,0
2014-01-04 11:00,8617,0.159,0
2014-01-04 12:00,8406,0.17,0
2014-01-04 13:00,8192,0.178,0
2014-01-04 14:00,8115,0.181,0
2014-01-04 15:00,8230,0.177,0
2014-01-04 16:00,8866,0.187,0
2014-01-04 17:00,9369,0.155,0.2
2014-01-04 18:00,9274,0.107,0.396
2014-01-04 19:00,9066,0.109,0.519
2014-01-04 20:00,8844,0.133,0.593
2014-01-04 21:00,8600,0.139,0.595
2014-01-04 22:00,8193,0.14,0.534
2014-01-04 23:00,7750,0.161,0.409
2014-01-05 0:00,7461,0.207,0.228
2014-01-05 1:00,7284,0.228,0
2014-01-05 2:00,7172,0.188,0
2014-01-05 3:00,7148,0.145,0
2014-01-05 4:00,7225,0.124,0
2014-01-05 5:00,7404,0.115,0
2014-01-05 6:00,7714,0.098,0
2014-01-05 7:00,8137,0.077,0
2014-01-05 8:00,8472,0.062,0
2014-01-05 9:00,8663,0.051,0
2014-01-05 10:00,8665,0.056,0
2014-01-05 11:00,8596,0.063,0
2014-01-05 12:00,8472,0.072,0
2014-01-05 13:00,8353,0.074,0
2014-01-05 14:00,8281,0.069,0
2014-01-05 15:00,8434,0.065,0
2014-01-05 16:00,9035,0.066,0
2014-01-05 17:00,9643,0.065,0.201
2014-01-05 18:00,9546,0.057,0.392
2014-01-05 19:00,9387,0.048,0.524
2014-01-05 20:00,9139,0.045,0.59
2014-01-05 21:00,8757,0.041,0.592
2014-01-05 22:00,8276,0.054,0.533
2014-01-05 23:00,7792,0.068,0.411
2014-01-06 0:00,7444,0.074,0.227
2014-01-06 1:00,7339,0.081,0.001
2014-01-06 2:00,7320,0.084,0
2014-01-06 3:00,7359,0.091,0
2014-01-06 4:00,7502,0.103,0
2014-01-06 5:00,7942,0.11,0
2014-01-06 6:00,8649,0.127,0
2014-01-06 7:00,9520,0.141,0
2014-01-06 8:00,9697,0.152,0
2014-01-06 9:00,9667,0.173,0
2014-01-06 10:00,9574,0.244,0
2014-01-06 11:00,9521,0.235,0
2014-01-06 12:00,9342,0.196,0
2014-01-06 13:00,9225,0.188,0
2014-01-06 14:00,9161,0.203,0
